department,Name of Project,GPS reading,Project Cost,Ward,Site,contracted company,project start date,expected date of complition,payment done to date,outstanding amount,level of complition,is project in use? yes/no,remarks/Observations,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",routine maintenance of C47-Kaaleng road 2014/2015,N 04° 20.461' E 035° 36.632' /591 M,"1,082,472",Kaaleng/Kaikor,Kaaleng Road,Napalakipor Investment Ltd,42044,42216,,,0.9,Yes,Operational,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",kaaleng-kamothia-kibish road 2013/2014,N 04° 20.929' E 035° 33.280' /641 M,"23,658,707",Kaaleng/Kaikor,Kaaleng,Kataboi Investmentd Limited,,,,,1,Yes,Operational,
"EDUCATION, CULTURE AND SOCIAL SERVICES",kaaleng polytechnic 2014/15,N 04° 22.036' E 035° 32.562' /613 M,"9,885,845",Kaaleng/Kaikor,Kaaleng,Kafia Company Limited,,,"8,897,260.30","988,584.50",90%,No,Project complete safe for fencing and solar installation,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",kaeris- kalopeta road 2014/2015,N 04° 22.687' E 035° 30.636' /614 M,"2,744,400",Nakalale,Kapotea,,42044,42216,,,90%,Yes,"Poorly done,operational",
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",kaaleng-nakapelewoi road 2014/2015,N 04° 22.687' E 035° 30.636' /636 M,"1,097,360",Kaaleng/Kaikor,Kaaleng/Nakapelewoi,Baross Investment,42044,42269,,,80%,Yes,No levelling,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Lochwarengan ecd 2014/2015,N 04° 23.406' E 035° 43.618' /609 M,"5,330,550",Lapur,Loarengak,Nawonyei Gen.Constr And Supp Co Ltd,15-May,16-Feb,"3,731,385.00","1,599,165.00",60%,No,"Project is on-going,most materials on site",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Lokidongo ecd 2014/15,N 04° 25.956' E 035° 32.013' /592 M,"6,000,000",Kaaleng/Kaikor,Lokidongo,Ledo Contractors & Suppliers Ltd,15-May,16-Feb,"4,200,000.00","1,800,000.00",70%,No,"Projects on-going,most of the materrials on site",
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Solar Installation -Loruth Mixed Primary,N 04° 26.706' E 035° 21.517' /572 M,,Kaaleng/Kaikor,Loruth,Lokitaung Contractors,,15-Jan,15-Jul,,,100%,Yes,Operational
"EDUCATION, CULTURE AND SOCIAL SERVICES",Kaarubangorok ecd,N 04° 26.868' E 035° 21.514' /572 M,"6,000,000",Kaaleng/Kaikor,Loruth,Abdifatah & Siblings Company,15-May,16-Feb,"5,400,000.00","600,000.00",85%,,"The classroom is not done to the standard design,pit latrine not complete,roofing for the dining hall is not complete,contractor has made a claim of variation on the basis of location,the project manager to address all this issue and report to commitee",
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",kaikor-kangikala-lobur road,N 04° 30.397' E 035° 25.229' /599 M,"3,557,997",Lapur,,,42044,41991,,,1,Yes,Operational,
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Kaaleng/Kaikor Tree Nursery,N 04° 30.397' E 035° 25.229' /599 M,,Kaikor/Kaleng,Kaikor,,,,,,,30%,No,"Fence erected, no sign of nursery trees, no water tank,0.35 acres"
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",routine maintenance of sasame-kabulokok-karioreng 2014/2015,N 04° 30.860' E 035° 44.838' /541 M,"1,936,620",Lapur,Sasame,Jonice Investment Limited,9-Feb,7-Sep,,,,Yes,Operational,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Nabulkok ecd,N 04° 31.007' E 035° 41.942' /476 M,"3,500,000",Lapur,Nabulkok,Nameturan Investment Ltd,,,"3,500,000.00",-,100%,Yes,"Project complete,additional work recomended,commissioning not done",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Longelemwar ecd,N 04° 31.750' E 035° 28.456' /625 M,"3,500,000",Kaaleng/Kaikor,Longelemwar,Abdifatah & Siblings Company,,,"3,500,000.00",-,,Yes,"Project is complete,client ministry to take care of the defects",
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Solar Installation-Kokuro Dispensary,N 04° 38.088' E 035° 41.824' /422 M,,Lapur,Kokuro,Lokitaung Contractors,,15-Jan,15-Jul,,,100%,Yes,Operational
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Solar Installation-Kokuro Primary,N 04° 39.851' E 035° 42.506',,Lapur,Kokuro,Lokitaung Contractors,,15-Jan,15-Jul,,,100%,Yes,Operational
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",kokuro-lobur road,N 04° 44.255' E 035° 40.361' /424 M,,Lapur,Kokuro,,42044,42216,,,1,Yes,Operational,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Liwan ecd 2014/15,N 04° 53.971' E 035° 40.277' /407 M,"6,000,000",Lapur,Liwan,Kopure Ent.Ltd,15-May,16-Feb,"5,400,000.00","600,000.00",90%,Yes,Project complete except fencing and gate,
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Solar Installation-Lomekwi Primary,N 04° 54.850' E 035° 50.250' /377 M,,Lakezone,Lomekwi,Lokitaung Contractors,,15-Jan,15-Jul,,,100%,Yes,Operational
Water Irrigation and Agriculture,Lokori Aic Borehole Fy 2013/14,N01⁰56.620' E036⁰01.964',"2,715,386",Lokori/Kochodin,Lokori Aic,African B/H Company,,,,"2,715,386.00",100%,No,"Drilling and testing done. Output 12 M³/Hr. Transferred from Katamanak. The project is to benefit Kang'itit Girls Secondary, Polytechnic, Lokori Primary School, Health Centre and part of Town.",
"TRADE, TOURISM AND INDUSTRIALIZATION",Lokori Market Stalls,N01⁰57.051' E035⁰01.830',"10,453,259",Lokori/Kochodin,Lokori Town,Lelar Inv Ltd,,,"10,453,259.00",0,100%,No,"Project complete. Recommended for water connection, fencing, gate, toilet and a rubbish pit. Need for a revenue collection and revenue enforcement offices.",
Water Irrigation and Agriculture,Rehabilitation Of Lokori Borehole,N01⁰57.067' E036⁰01.601',,Lokori/Kochodin,Lokori,,,,,-,100%,No,"Solar panels and pumps installed, The Bore Hole collapsed, The pannels were taken back for storage",
HEALTH AND SANITATION,Construction of Lopeduru Dispensary FY 2013/14,N01⁰57.106' E036⁰01.530',"6,900,000",Katilia,Lopeduru,Achuma Contractors Ltd,14-Jun,15-May,"6,900,000.00",0,100%,Yes,"Construction complete and serves an average of 25 patients per day. The medical staff include 2 nurses and 1 volunteer. There is need for equiping the facility with requisite equipments, running water and a fence. Notable defects; veranndar steel pillars are not holding the roof, poor ventilation in the maternity. Client to correct the defects.",
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Lokori Ward Administrator's Office,N01⁰57.106' E036⁰01.530',,Lokori/Kochodin,Lokori Town,,,,,,75%,No,Main works with undercoat paint done. Fencing and drainage also done. Placing of floor tiles on going.,
FINANCE AND PLANNING,Lokori Slaughter House,N01⁰57.108' E035⁰01.526',,Lokori/Kochodin,Lokori Town,,,,,,100%,No,Main structure complete. Latrines done. Water tanks supplied but not installed. The facility needs labeling.,
Water Irrigation and Agriculture,Rehabilitation Of Lokri Main Borehole,N01⁰57.425' E036⁰02.721',,Lokori/Kochodin,Lokori,,,,,-,100%,Yes,Pump and controller supplied. Solar pannels installed. Output is 12 M³/Hr. The borehole serves Lokori town.,
Water Irrigation and Agriculture,Lokori/Kochodin Borehole Fy 2014/15,N01⁰58.104' E036⁰06.105',"2,473,905",Lokori/Kochodin,Lokwii,Parakati Con Co Ltd,,,,"2,473,905.00",80%,No,Drilling and testing done. Output 4.5 M³/Hr. Solar pump and solar pannels installed. Four pannels were recently stollen. There is need for fencing and securing the pannels with angle lines & raising them higher.,
Water Irrigation and Agriculture,Lokori Borehole,N01⁰58.411' E036⁰05.209',,Lokori/Kochodin,Nadoto,,,,,-,100%,No,Drilling and testing done. Output 2.2 M³/Hr.,
HEALTH AND SANITATION,Construction of Lokwii Dispensary FY 2013/14,N01⁰58.637' E036⁰06.327',"9,800,000",Lokori/Kochodin,Lokwii,Kodekode Contractors,14-Jun,15-May,"9,800,000.00",0,100%,Yes,"The project is complete and commissioned. Maternity, Antenatal and Postnatal wings are in use. The facility is powered with solar energy and serves an average of 5-50 patients per day. The staff members comprise of 1 In Charge, 1 Clinical Officer, 2 Nurses and 1 CHEW.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of Lokwamosing ECD FY 2014/15,N01⁰59.544' E035⁰56.215',"6,000,000",Lokori/Kochodin,Lokwamosing,Ummatul Rahma Const,15-May,16-Feb,"6,000,000.00",0,100%,Yes,Construction of main structures complete. One more coat of paint needed. Fencing done. Project not yet handed over. The ECD is within a school compound and there is need for a urinal & more latrines for girls.,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Routine maintenance of Lokwamosing/Kakongu Road,N02⁰00.628' E035⁰55.296',"5,868,440",Lokori/Kochodin,Lokwamosing - Kakongu,Turkana General Co Ltd,,,"4,107,908.00","1,760,532.00",100%,Yes,Project complete and the road is motorable.,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of Morulem ECD FY 2014/15,N02⁰01.143' E036⁰04.994',"6,000,000",Lokori/Kochodin,Nakwasinyen,Etau Build & Const Ltd,15-May,16-Feb,"6,000,000.00",0,100%,Yes,Project is complete and ready for commisioning. Poor accessibilty to the facility.,
HEALTH AND SANITATION,Lotubae Dispensary FY 2014/15,N02⁰01.514' E036⁰07.541',"7,396,473",Lokori/Kochodin,Lotubae,Logistics Team Int Ltd,,,"5,177,531.10","2,218,941.90",80%,No,Part roofing for the dispensary done. Roofing for staff house complete. Steel windows and doors fitted. Escavation of the latrine done. The contractor was not on site. Project manager to follow up,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of Nayanae Katon ECD FY 2013/14,N02⁰03.013' E036⁰07.829',"3,500,000",Katilia,Nayanae Katwan,Etich Bon Co Ltd,14-Jan,14-Apr,,"3,500,000.00",100%,Yes,Project is complete and ready for commisioning.,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Routine maintenance of Lopii - Kaaruko - Lokori Road FY 2014/15,N02⁰03.820' E035⁰52.421',"4,200,000",Lokori/Kochodin,Lopii-Kaaruko-Lokori,Lowatat Contractors & Supplies Ltd,,,"2,940,000.00","1,260,000.00",100%,Yes,Project complete and the road is motorable.,
"EDUCATION, CULTURE AND SOCIAL SERVICES",,N02⁰05.814' E035⁰35.518',"3,500,000",Lokori/Kochodin,Lokicheda,Etich Bon Co Ltd,14-Jan,14-Apr,"3,500,000.00",0,90%,Yes,"Classroom, Dining Hall and Kitchen complete. Need for supply of furniture. Floor needs rescreeding. Latrines 40% complete (Walling on going). Need for water connection to the ECD (Water tank within the school compound). Client to follow up with the project manager.",
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Construction of Elelea Drift FY 2014/15,N02⁰06.073' E036⁰09.149',"6,239,988",Katilia,Elelea,Natorobee Co Ltd,,,"4,367,991.60","1,871,996.40",100%,Yes,Project complete. There is need for embarkment down stream.,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of Elelea ECD FY 2013/14,N02⁰06.427' E036⁰09.795',"3,500,000",Katilia,Elelea,Katilu Builders & Construction,14-Jan,14-Apr,,"3,500,000.00",100%,Yes,"Classroom, Dining Hall, Kitchen and Toilets done. The Dinning Hall floor is pealling off. There is need for equiping the facility with furniture. The classroom needs ceilling. The facility is also not fenced and there is no running water within. The client to forward the project to project manager for follow up.",
Water Irrigation and Agriculture,Equiping Of Elelea Borehole,N02⁰06.659' E036⁰09.974',,Katilia,Elelea,,,,,-,100%,Yes,Installation of solar pump and 34 solar pannels done. Output is 15 M³/Hr. Drilling and fencing had earlier been done by World Vision. There is need for another fence. 3 solar pannels were recently stollen.,
HEALTH AND SANITATION,Construction of staff quarters at Elelea Sub County Hospital FY 2014/15,N02⁰06.887' E036⁰09.171',"10,575,000",Katilia,Elelea,Ibus Turkan,,,"7,402,500.00","3,172,500.00",90%,No,4 units staff houses complete with 2 units of latrines. Piping for water connection on going. There is need for fencing the facility. There is also a pressing need for more staff houses to accommodate the 12 staff members serving the facility.,
HEALTH AND SANITATION,Elelea Sub County Hospital FY 2013/14,N02⁰06.903' E036⁰09.111',"2,900,000",Katilia,Elelea,,14-Jun,15-May,"2,900,000.00",0,100%,Yes,"Completion works to the ESP modle Health centre. The hospital attends to an average of 30 patients per day. Staff members comprises of 3 Nurses, 2 Clinical Officers, 1 Medical Officers, 1 CHEW, 1 Volunteer and 2 Personal Assistants. By the time of the visit, the outreach programme had stopped for a month and the effect had already been felt.",
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Katilia Ward Administrator's Office,N02⁰07.428' E036⁰07.459',,Katilia,Katilia Town,Touchlife Co Ltd,,,,,100%,No,Construction complete. Furniture supplied. The office is ready for use. There is need for clearing of site.,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Construction of Elelea - Katilia Road FY 2014/15,N02⁰07.831' E036⁰07.040',"9,628,000",Katilia,Katilia - Elelea,Natoot Co Ltd,,,"6,739,600.00","2,888,400.00",100%,Yes,Project complete and the road is motorable.,
Water Irrigation and Agriculture,Lokori/Kochodin Water Pan Fy 2014/15,N02⁰09.194' E035⁰49.535',,Lokori/Kochodin,Katamanak,Akide,,,,-,70%,Yes,The pan has water 30% its volume. There is evidence of silting from earlier rains. The project is not fenced.,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of Katilia ECD FY 2013/14,N02⁰11.246' E036⁰07.324',"3,500,000",Katilia,Katilia,,14-Jan,14-Apr,"3,500,000.00",0,100%,Yes,"Classroom, Dining Hall, Kitchen and Toilets done. There is evidence of poor workmanship (paint falling off and floor scrapped). The Dinning Hall is not child friendly. There is need for repairs. Class in use but the Dinning is not functional (used as a dormitory for Katilia primary school). The facility is recomended for additional works.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of Lokorkor ECD FY 2014/15,N02⁰14.519' E036⁰07.582',"6,000,000",Katilia,Lokorkor,Kachilap Co Ltd,15-May,16-Feb,"6,000,000.00",0,100%,Yes,"Classroom, Dining Hall, Kitchen and Toilets done. Need for running water in the facility. The classroom windows do not meet the safety standards. Need for ventilation louvres.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of Lopeduru ECD FY 2014/15,N02⁰14.520' E036⁰07.586',"6,000,000",Katilia,Lopeduru,Lochar Emayan Contractors,15-May,16-Feb,"3,600,000.00","2,400,000.00",100%,Yes,"Classroom, Dining Hall, Kitchen and Toilets done. The facility also has a gated fence. There need of clearing the site after construction to minimise injuries on pupils. The sinks for hand washing at the latrines well done. There is need for applying red oxide and ramping the strucutres to allow accessibility for all. It is located close to Lopeduru primary school. The contractor should clear the project site.",
Water Irrigation and Agriculture,Katilia Ward Water Pan,N02⁰18.072' E036⁰07.927',,Katilia,Lopeduru,Natorube Co Ltd,,,,-,100%,No,Presipitation low. Need for more inlet channels to feed the water pan. The facility is fenced with barbed wire.,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Lokore ecd 2013/14,N03° 30.905' E 035° 13.350',"3,500,000",Nakalale,Lokore,Kuchikuchil Contgractors,,,"3,500,000.00",-,100%,Yes,"Project is complete,minor defects to be addresed by the client",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of new ECD at Losajait 2014/2015,N03° 37.278' E035°18.645' /637 M,"6,000,000",Nakalale,Losajait,Napalakipor Inv Ltd,15-May,16-Feb,"6,000,000.00",-,100%,No,"Project complete,inadequate fence chain link",
Water Irrigation and Agriculture,Naduat Borehole,N03°30.677' E035°11.207 /669M,"2,450,500",Nakalale,Naduat,Ekanyarit Constr,,,,,85%,No,Not completed fully,
Water Irrigation and Agriculture,Equiping Of Naduat Borehole With A Handpump,N03°30.677' E035°11.207 /669M,"336,000",Nakalale,Naduat,The Installation Was Done By The Ministry,,,,,,No,Equiped awaiting commissioning,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of new ECD at Naduat 2014/2015,N03°30.751' E035°11.954',"6,000,000",Nakalale,Naduat,Kuchulkuchil Build Const Co Ltd,15-May,16-Feb,"6,000,000.00",-,100%,No,"Project complete awaiting commssioning,client ensure signage",
HEALTH AND SANITATION,Naduat dispensary 2014/2015,N03°30.855' E035°11.065',"6,900,000",Nakalale,Naduat,Kuchilchil contractors,14-Jun,15-May,"6,900,000.00",-,100%,no,The project is complete ready for commissioning,
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Nakalale ward admin office 2014/2015,N03°30.898' E035°13.529',"12,228,947",Nakalale,Makutano Gold Junction,Fithergur Gen Mer Ltd,15-May,16-Feb,"8,560,262.92",,75%,No,"Not complete,workers on site,complains on access road,no gate,fenced",
HEALTH AND SANITATION,Lolupe dispensary 2014/2015,N03°32.228' E035°14.392' /715 M,"7,276,271",Nakalale,Lolupe,be-lochakai,14-Jun,15-May,"5,093,389.70",-,80%,no,"The contractor on site,work progressing well",
HEALTH AND SANITATION,Losajait dispensary 2013/2014,N03°37.153' E035°18.850' /637M,"2,900,000",Nakalale,Losajait,Mugasi building & contractors,,,"2,900,000.00",-,100%,no,"The project is complete ready for commissioning,there is need for pit latrine and staff house",
"TRADE, TOURISM AND INDUSTRIALIZATION",Kataboi Eco Lodge,N03°40.635' E035°49.941' /383 M,"66,389,746",Lakezone,Lokitoeangaber,Kacheilap Gen.Contractors,14-Nov-14,8/15/2015,59750771.4,"6,638,974.60",85%,no,Accomodation blocks near completion.dinning/ conference at roofing.fencing complete.contractor claim for variation for extra work,
Water Irrigation and Agriculture,Kataboi Water Storage Tank,N03°44.970' E035°47.314' /490 M,,Lakezone,Kataboi,,,,,,100%,Yes,Good condition and fully operational,
Water Irrigation and Agriculture,Kaeris Borehole,N03°58.798' E035°28.855 /677M,"2,550,500",Kaeris Ward,Kaeris,Loitangole Ent Ltd,,,,,60%,Not yet,Yet to be equipped/installed,
HEALTH AND SANITATION,Kaeris dispensary 2014/2015,N03°58.798' E035°28.855 /677M,"7,131,600",Kaeris,Kaeris,Almaso ent & const ltd,14-Jun,15-May,"7,131,600.00",-,100%,no,"The project is complete,contractor to make good defects",
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Kaeris ward admin office 2013/2014,N03°59.530' E035°28.742',"9,501,930",Kaeris,Kaeris,,,,"9,501,930",0,100%,Yes,"Operational ,toilet doors falling off,outside paint worn out,no staff in the offices,ward admin to take care of maintenance",
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Lorengesinyen drift,N03⁰02.716' E034⁰48.229' ELV 648m,"18,441,260",Letea Ward,Lorengesinyen,Nanam Const Co Ltd,27/07/15,28/10/15,,,100%,Yes,Project complete but drift submerged. Project manager to follow up.,
Water Irrigation and Agriculture,Letea Borehole,N03⁰30.884' E034⁰48.463' EL 654m,,Letea Ward,Letea Village,,,,,,50%,No,Drilled and capped equipment not installed,
HEALTH AND SANITATION,Letea OPD Block 13/14,N03⁰31.068' E034⁰49.010' ELV 660m,"9,800,000",Letea Ward,Letea Village,Ekisil construction company limited,,,"9,800,000.00",-,100%,Yes,The project is in use,
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Letea Ward Admin Office,N03⁰31.304' E034⁰48.526' EL 650m,"9,691,164",Letea Ward,Letea,,,,"9,691,164.00",-,100%,Yes,Project complete,
HEALTH AND SANITATION,Pokotom Heath Centre 2013/2014,N03⁰36.786' E034⁰49.315' ELV 627m,"9,800,000",Kakuma Ward,Pokotom Village,Rasabana Enterprise LTD,,,"9,800,000.00",-,100%,No,"Project complete, to be taken over by client, contractor in default in another contract with TCG and therefore his retention be withheld untill he makes good the default.",
"TRADE, TOURISM AND INDUSTRIALIZATION",Turkana West Market Renovation,N03⁰42.456' E034⁰51.734',"1,823,878",Kakuma,Kakuma Town,Rasabana Entr Ltd,,,"1,823,878.00",0,100%,yes,"Project complete. Renovation works included painting, floor and roof repairs. Recommended for major renovations.",
HEALTH AND SANITATION,Lonyuduk Dispensary 14/15,N03⁰42.548' E034⁰36.324' ELV 676m,"7,456,515",Kalobeiyei,Lonyuduk,Turkana west Technical,,,"5,215,360.50","2,241,154.50",100%,No,"Yet to do wiring, and repainting. Ready for commissioning. No signage",
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Kakuma Ward Admin Office,N03⁰42.610' E034⁰52.032' EL 607m,"11,585,001",Kakuma Ward,Kakuma Town,Rasabana Ent Ltd,,,"8,109,792.00","3,475,209.00",60%,No,"The project is stalled. Finishes,openings and external works remaining. The project manager to follow up, including issuance of default notice.",
HEALTH AND SANITATION,Nakoyo Dispensary 2014/2015,N03⁰42.687' E034⁰47.411' ELV 614m,"7,871,999",Lopur Ward,Nakoyo,Napek construction and supp ltd,,,"5,510,399.30","2,361,599.70",80%,No,"Contractor on site, project at the finishes level.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Komudei ECD 14/15,N03⁰43.082' E034⁰52.344' ELV 608m,"6,000,000",Kakuma Ward,Kakuma- Komudei Village,Laika Construction,15-May,16-Feb,"5,400,000.00","600,000.00",98%,No,"Project is complete excepy for fence, window panes.",
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Kakuma Tree Nursery,N03⁰43.198' E034⁰51.576' EL 603M,,Kakuma,Kakuma,Kotome Building And Enterprises,,,,,,50%,No,
HEALTH AND SANITATION,Komudei Dispensary 14/15,N03⁰43.565' E034⁰52.913' ELV 609m,"7,575,200",Kakuma Ward,Komudei Village,Pelekech LTD,,,"6,060,160.00","1,515,040.00",100%,No,"The project is complete, no signage. Yet to be commissioned.",
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Pokotom Primary School Solar Project,N03⁰43.949' E034⁰51.174',,Kakuma,Pokotom Primary,Olam Building And Construction,box 33-30501 kakuma,15-Jan,15-Jul,,,100%,Yes,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Nakoyo - ayanae elelea road,N03⁰44.383' E034⁰44.476' ELV 632m,"4,175,676",Lopur Ward,Nakoyo,Kachodae Building,,,,,100%,Yes,Bad work,There is no functional nursery yet. Works not done to specification. Suppliers paid fully but the materials have not been supplied fully. The client ministry to make follow up.
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Kalobeyei Ward Admin Office,N03⁰45.657' E034⁰37.945' EL 663m,"12,488,900",Kalobeyei Ward,Kalobeyei Centre,Akanpich Building Co Ltd,,,"8,742,229.80","3,746,670.20",70%,No,"The project is stalled. Finishes,openings and external works remaining. The directors of the contracted co are in a court dispute. The project manager to follow up, including issuance of default notice.",
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Kalobeyei Tree Nursery,N03⁰46.374' E034⁰36.969' EL 646M,,Kalobeyei,Kalobeyei,Kotome Building And Enterprises,,,,,,50%,No,Project complete
"EDUCATION, CULTURE AND SOCIAL SERVICES",Kalobeyei ECD 13/14,N03⁰46.383' E034⁰37.554' ELV 653m,"4,320,000",Kalobeyei Ward,Kalobeyei,Aropa Investment Ltd,,,,"4,320,000.00",100%,Yes,"Project complete ready for commissioning, additional works recommended.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",LOMUNYANAKIRIONOK/ NGIJAWOI ECD 13/14,N03⁰48.577' E034⁰53.451' ELV 592m,"3,500,000",Lopur Ward,Ngijawoi,Kaisaki Building Contractors,,,"3,500,000.00",-,100%,Yes,The project is complete and ready for commissioning additional works recommended.,
"EDUCATION, CULTURE AND SOCIAL SERVICES",LOTAKA ECD 14/15,N03⁰48.577' E034⁰53.451' ELV 592m,"6,000,000",Kakuma Ward,Lotaka Village,Bluepower Construction Co Ltd,15-May,16-Feb,"4,200,000.00","1,800,000.00",90%,No,"Finishes to the latrine outstanding, to put window panes and fence, the project manager to follow up.",There is no functional nursery yet. Works not done to specification. Suppliers paid fully but the materials have not been supplied fully. The client ministry to make follow up.
"EDUCATION, CULTURE AND SOCIAL SERVICES",Nawotom ECD 13/14,N03⁰48.734' E034⁰35.850' ELV 675m,"3,500,000",Kalobeyei Ward,Nawotom,Lotikipi Investment Ltd,,,,"3,500,000.00",100%,Yes,"Project complete ready for commissioning, additional works recommended.",
HEALTH AND SANITATION,Nalapatui Dispensary 14/15,N03⁰48.738' E034⁰35.848' ELV 784m,"7,459,515",Kalobeyei Ward,Nalapatui,Epolot ere construction co LTD,,,"7,459,515.00",-,100%,No,"The contractor to repaint, there is need for provision of plumbing and solar power. The project is ready for commissioning. No signange",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Oropoi ECD 14/15,N03⁰48.817' E034⁰21.737' ELV 864m,"6,000,000",Kalobeyei Ward,Oropoi,Eitanit Water Drilling And Construction Co Ltd,15-May,16-Feb,"3,600,000.00","2,400,000.00",50%,No,"Site abandoned, project manager to follow up.",
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",A1 junc- Oropoi- NB uganda Road,N03⁰50.900' E034⁰34.822' ELV 685m,"11,980,480",Kalobeyei Ward,Oropoi- Natiira,Akajere Const Co Ltd,,,,,100%,Yes,Done but the rains have destroyed some parts,
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Lopur Tree Nursery,N03⁰51.377' E034⁰49.000' EL 603M,,Lopur,Lopur,Kotome Building And Enterprises,,,,,,50%,No,
"PUBLIC SERVICE, DECENTRALIZED ADMINISTRATION AND DISASTER MANAGEMENT",Lopur Ward admin,N03⁰51.453' E034⁰49.639' EL 566m,"11,425,340",Lopur Ward,Lopur,Ekisil Co Ltd,,,"11,425,340.00",-,100%,No,"Project complete, awaitng commisioning.",
HEALTH AND SANITATION,Lopusike Dispensary 13/14,N03⁰51.496' E034⁰49.272' ELV 567m,"4,900,000",Lopur Ward,Lopur Village,Naita construction company,,,,"4,900,000.00",100%,No,"Notable cracks on the floor, walls and collapsing ceiling.The project manager to instruct the contractor to rectify",
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Kangitesuroi- Kanakuring Road,N03⁰52.258' E034⁰56.104',"5,212,344",Lopur Ward,Kangitesroi,,,,,,100%,Yes,Done,There is no functional nursery yet. Works not done to specification. Suppliers paid fully but the materials have not been supplied fully. The client ministry to make follow up.
HEALTH AND SANITATION,Kangitesroi Dispensary 2014/2015,N03⁰52.639' E034⁰56.859' ELV 573m,"7,439,201",Lopur Ward,Kangitesroi,Urum construction and engineering co ltd,,,"5,207,440.70","2,231,760.30",50%,NO,"Site abandoned, all material to completion are on site, the project manager to ensure the contractor finishes to project.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",KANGITESROI ECD 13/14,N03⁰53.055' E034⁰56.918' ELV 571m,"3,500,000",Lopur Ward,Kangitesroi,,,,"3,500,000.00",-,100%,Yes,The project is complete and ready for commissioning additional works recommended.,
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Natiira Primary School Solar Project,N03⁰53.146' E034⁰33.663'EL668m,,Kalobeyei Ward,Natiira,Olam Building And Construction,box 33-30501 kakuma,15-Jan,15-Jul,,,100%,Yes,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Natiira ECD 14/15,N03⁰53.200' E034⁰33.078' ELV 678m,"6,000,000",Kalobeyei Ward,Natiira,Lomidat Construction Co Ltd,15-May,16-Feb,"3,600,000.00","2,400,000.00",70%,No,"Contractor on site, works progressing well.",
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Natiira-Nameitak- Namaanik road,N03⁰53.291' E034⁰33.691' ELV 677m,"4,410,670",Kalobeyei Ward,Natiira,Napakin Const Co LTD,,,,,100%,Yes,Done,
